2.2948 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
58.9397 	EXP 	fixation: autoDraw = False
58.9566 	EXP 	grating: autoDraw = True
58.9566 	EXP 	grating: tex = 'sin'
59.2560 	EXP 	grating: autoDraw = False
59.2749 	EXP 	window1: recordFrameIntervals = False
59.2761 	DATA 	Keypress: right
59.2895 	EXP 	fixation: autoDraw = False
59.2895 	EXP 	grating: autoDraw = False
59.2898 	EXP 	window1: recordFrameIntervals = False
60.2646 	EXP 	fixation: autoDraw = True
61.2720 	EXP 	fixation: autoDraw = False
61.2893 	EXP 	grating: autoDraw = True
61.2893 	EXP 	grating: tex = 'sin'
61.5756 	EXP 	window1: recordFrameIntervals = False
61.5766 	DATA 	Keypress: left
61.5887 	EXP 	grating: autoDraw = False
61.5887 	EXP 	fixation: autoDraw = False
61.5887 	EXP 	grating: autoDraw = False
61.5889 	EXP 	window1: recordFrameIntervals = False
62.5649 	EXP 	fixation: autoDraw = True
63.4574 	DATA 	Keypress: right
63.5719 	EXP 	fixation: autoDraw = False
63.5884 	EXP 	grating: autoDraw = True
63.5884 	EXP 	grating: tex = 'sin'
63.8881 	EXP 	grating: autoDraw = False
67.0226 	EXP 	window1: recordFrameIntervals = False
67.0234 	DATA 	Keypress: right
67.0375 	EXP 	fixation: autoDraw = False
67.0375 	EXP 	grating: autoDraw = False
67.0377 	EXP 	window1: recordFrameIntervals = False
68.0136 	EXP 	fixation: autoDraw = True
69.0202 	EXP 	fixation: autoDraw = False
69.0374 	EXP 	grating: autoDraw = True
69.0374 	EXP 	grating: tex = 'sin'
69.3226 	EXP 	window1: recordFrameIntervals = False
69.3238 	DATA 	Keypress: left
69.3370 	EXP 	grating: autoDraw = False
69.3370 	EXP 	fixation: autoDraw = False
69.3370 	EXP 	grating: autoDraw = False
69.3375 	EXP 	window1: recordFrameIntervals = False
70.3127 	EXP 	fixation: autoDraw = True
71.3198 	EXP 	fixation: autoDraw = False
71.3368 	EXP 	grating: autoDraw = True
71.3368 	EXP 	grating: tex = 'sin'
71.6366 	EXP 	grating: autoDraw = False
71.8390 	EXP 	window1: recordFrameIntervals = False
71.8404 	DATA 	Keypress: right
71.8529 	EXP 	fixation: autoDraw = False
71.8529 	EXP 	grating: autoDraw = False
71.8532 	EXP 	window1: recordFrameIntervals = False
72.8285 	EXP 	fixation: autoDraw = True
73.8361 	EXP 	fixation: autoDraw = False
73.8528 	EXP 	grating: autoDraw = True
73.8528 	EXP 	grating: tex = 'sin'
74.1524 	EXP 	grating: autoDraw = False
74.1549 	EXP 	window1: recordFrameIntervals = False
74.1562 	DATA 	Keypress: right
74.1689 	EXP 	fixation: autoDraw = False
74.1689 	EXP 	grating: autoDraw = False
74.1692 	EXP 	window1: recordFrameIntervals = False
75.1465 	EXP 	fixation: autoDraw = True
76.1515 	EXP 	fixation: autoDraw = False
76.1686 	EXP 	grating: autoDraw = True
76.1686 	EXP 	grating: tex = 'sin'
76.4682 	EXP 	grating: autoDraw = False
76.5542 	EXP 	window1: recordFrameIntervals = False
76.5555 	DATA 	Keypress: right
76.5683 	EXP 	fixation: autoDraw = False
76.5683 	EXP 	grating: autoDraw = False
76.5686 	EXP 	window1: recordFrameIntervals = False
77.3380 	DATA 	Keypress: left
77.5444 	EXP 	fixation: autoDraw = True
78.5513 	EXP 	fixation: autoDraw = False
78.5679 	EXP 	grating: autoDraw = True
78.5679 	EXP 	grating: tex = 'sin'
78.8678 	EXP 	grating: autoDraw = False
78.9042 	EXP 	window1: recordFrameIntervals = False
78.9055 	DATA 	Keypress: right
78.9177 	EXP 	fixation: autoDraw = False
78.9177 	EXP 	grating: autoDraw = False
78.9180 	EXP 	window1: recordFrameIntervals = False
79.8948 	EXP 	fixation: autoDraw = True
80.9010 	EXP 	fixation: autoDraw = False
80.9176 	EXP 	grating: autoDraw = True
80.9176 	EXP 	grating: tex = 'sin'
81.1538 	DATA 	Keypress: left
81.1702 	EXP 	window1: recordFrameIntervals = False
81.1843 	EXP 	fixation: autoDraw = False
81.1843 	EXP 	grating: autoDraw = False
81.1846 	EXP 	window1: recordFrameIntervals = False
82.1589 	EXP 	fixation: autoDraw = True
83.1668 	EXP 	fixation: autoDraw = False
83.1839 	EXP 	grating: autoDraw = True
83.1839 	EXP 	grating: tex = 'sin'
83.4835 	EXP 	grating: autoDraw = False
83.5192 	EXP 	window1: recordFrameIntervals = False
83.5207 	DATA 	Keypress: left
83.5335 	EXP 	fixation: autoDraw = False
83.5335 	EXP 	grating: autoDraw = False
83.5337 	EXP 	window1: recordFrameIntervals = False
84.5092 	EXP 	fixation: autoDraw = True
85.5165 	EXP 	fixation: autoDraw = False
85.5332 	EXP 	grating: autoDraw = True
85.5332 	EXP 	grating: tex = 'sin'
85.8020 	EXP 	window1: recordFrameIntervals = False
85.8032 	DATA 	Keypress: right
85.8163 	EXP 	fixation: autoDraw = False
85.8163 	EXP 	grating: autoDraw = False
85.8166 	EXP 	window1: recordFrameIntervals = False
86.7913 	EXP 	fixation: autoDraw = True
87.7991 	EXP 	fixation: autoDraw = False
87.8159 	EXP 	grating: autoDraw = True
87.8159 	EXP 	grating: tex = 'sin'
88.1158 	EXP 	grating: autoDraw = False
88.2012 	EXP 	window1: recordFrameIntervals = False
88.2024 	DATA 	Keypress: right
88.2156 	EXP 	fixation: autoDraw = False
88.2156 	EXP 	grating: autoDraw = False
88.2158 	EXP 	window1: recordFrameIntervals = False
89.1907 	EXP 	fixation: autoDraw = True
90.1982 	EXP 	fixation: autoDraw = False
90.2155 	EXP 	grating: autoDraw = True
90.2155 	EXP 	grating: tex = 'sin'
90.5149 	EXP 	grating: autoDraw = False
90.6503 	EXP 	window1: recordFrameIntervals = False
90.6516 	DATA 	Keypress: right
90.6647 	EXP 	fixation: autoDraw = False
90.6647 	EXP 	grating: autoDraw = False
90.6649 	EXP 	window1: recordFrameIntervals = False
91.6398 	EXP 	fixation: autoDraw = True
92.6476 	EXP 	fixation: autoDraw = False
92.6647 	EXP 	grating: autoDraw = True
92.6647 	EXP 	grating: tex = 'sin'
92.9642 	EXP 	grating: autoDraw = False
93.0329 	EXP 	window1: recordFrameIntervals = False
93.0341 	DATA 	Keypress: left
93.0475 	EXP 	fixation: autoDraw = False
93.0475 	EXP 	grating: autoDraw = False
93.0477 	EXP 	window1: recordFrameIntervals = False
94.0230 	EXP 	fixation: autoDraw = True
95.0303 	EXP 	fixation: autoDraw = False
95.0475 	EXP 	grating: autoDraw = True
95.0475 	EXP 	grating: tex = 'sin'
95.3470 	EXP 	grating: autoDraw = False
95.3828 	EXP 	window1: recordFrameIntervals = False
95.3840 	DATA 	Keypress: left
95.3972 	EXP 	fixation: autoDraw = False
95.3972 	EXP 	grating: autoDraw = False
95.3974 	EXP 	window1: recordFrameIntervals = False
96.3730 	EXP 	fixation: autoDraw = True
97.3798 	EXP 	fixation: autoDraw = False
97.3967 	EXP 	grating: autoDraw = True
97.3967 	EXP 	grating: tex = 'sin'
97.6967 	EXP 	grating: autoDraw = False
97.7826 	EXP 	window1: recordFrameIntervals = False
97.7838 	DATA 	Keypress: left
97.7964 	EXP 	fixation: autoDraw = False
97.7964 	EXP 	grating: autoDraw = False
97.7967 	EXP 	window1: recordFrameIntervals = False
98.7718 	EXP 	fixation: autoDraw = True
99.7794 	EXP 	fixation: autoDraw = False
99.7960 	EXP 	grating: autoDraw = True
99.7960 	EXP 	grating: tex = 'sin'
100.0960 	EXP 	grating: autoDraw = False
100.2480 	EXP 	window1: recordFrameIntervals = False
100.2492 	DATA 	Keypress: left
100.2625 	EXP 	fixation: autoDraw = False
100.2625 	EXP 	grating: autoDraw = False
100.2627 	EXP 	window1: recordFrameIntervals = False
101.2372 	EXP 	fixation: autoDraw = True
102.2452 	EXP 	fixation: autoDraw = False
102.2622 	EXP 	grating: autoDraw = True
102.2622 	EXP 	grating: tex = 'sin'
102.5620 	EXP 	grating: autoDraw = False
102.7144 	EXP 	window1: recordFrameIntervals = False
102.7157 	DATA 	Keypress: left
102.7284 	EXP 	fixation: autoDraw = False
102.7284 	EXP 	grating: autoDraw = False
102.7286 	EXP 	window1: recordFrameIntervals = False
103.7046 	EXP 	fixation: autoDraw = True
104.7114 	EXP 	fixation: autoDraw = False
104.7285 	EXP 	grating: autoDraw = True
104.7285 	EXP 	grating: tex = 'sin'
105.0280 	EXP 	grating: autoDraw = False
105.1132 	EXP 	window1: recordFrameIntervals = False
105.1145 	DATA 	Keypress: left
105.1283 	EXP 	fixation: autoDraw = False
105.1283 	EXP 	grating: autoDraw = False
105.1285 	EXP 	window1: recordFrameIntervals = False
106.1030 	EXP 	fixation: autoDraw = True
107.1107 	EXP 	fixation: autoDraw = False
107.1276 	EXP 	grating: autoDraw = True
107.1276 	EXP 	grating: tex = 'sin'
107.4276 	EXP 	grating: autoDraw = False
107.5306 	EXP 	window1: recordFrameIntervals = False
107.5319 	DATA 	Keypress: right
107.5439 	EXP 	fixation: autoDraw = False
107.5439 	EXP 	grating: autoDraw = False
107.5441 	EXP 	window1: recordFrameIntervals = False
108.5199 	EXP 	fixation: autoDraw = True
109.5270 	EXP 	fixation: autoDraw = False
109.5439 	EXP 	grating: autoDraw = True
109.5439 	EXP 	grating: tex = 'sin'
109.8435 	EXP 	grating: autoDraw = False
109.9795 	EXP 	window1: recordFrameIntervals = False
109.9808 	DATA 	Keypress: left
109.9936 	EXP 	fixation: autoDraw = False
109.9936 	EXP 	grating: autoDraw = False
109.9938 	EXP 	window1: recordFrameIntervals = False
110.9694 	EXP 	fixation: autoDraw = True
111.9761 	EXP 	fixation: autoDraw = False
111.9928 	EXP 	grating: autoDraw = True
111.9928 	EXP 	grating: tex = 'sin'
112.2926 	EXP 	grating: autoDraw = False
112.3617 	EXP 	window1: recordFrameIntervals = False
112.3630 	DATA 	Keypress: right
112.3763 	EXP 	fixation: autoDraw = False
112.3763 	EXP 	grating: autoDraw = False
112.3765 	EXP 	window1: recordFrameIntervals = False
113.3509 	EXP 	fixation: autoDraw = True
114.3589 	EXP 	fixation: autoDraw = False
114.3759 	EXP 	grating: autoDraw = True
114.3759 	EXP 	grating: tex = 'sin'
114.6756 	EXP 	grating: autoDraw = False
114.8116 	EXP 	window1: recordFrameIntervals = False
114.8128 	DATA 	Keypress: left
114.8255 	EXP 	fixation: autoDraw = False
114.8255 	EXP 	grating: autoDraw = False
114.8257 	EXP 	window1: recordFrameIntervals = False
115.8014 	EXP 	fixation: autoDraw = True
116.8082 	EXP 	fixation: autoDraw = False
116.8255 	EXP 	grating: autoDraw = True
116.8255 	EXP 	grating: tex = 'sin'
117.1250 	EXP 	grating: autoDraw = False
117.2605 	EXP 	window1: recordFrameIntervals = False
117.2620 	DATA 	Keypress: left
117.2749 	EXP 	fixation: autoDraw = False
117.2749 	EXP 	grating: autoDraw = False
117.2751 	EXP 	window1: recordFrameIntervals = False
118.2504 	EXP 	fixation: autoDraw = True
119.2580 	EXP 	fixation: autoDraw = False
119.2748 	EXP 	grating: autoDraw = True
119.2748 	EXP 	grating: tex = 'sin'
119.5743 	EXP 	grating: autoDraw = False
119.6268 	EXP 	window1: recordFrameIntervals = False
119.6282 	DATA 	Keypress: right
119.6412 	EXP 	fixation: autoDraw = False
119.6412 	EXP 	grating: autoDraw = False
119.6414 	EXP 	window1: recordFrameIntervals = False
120.6160 	EXP 	fixation: autoDraw = True
121.6239 	EXP 	fixation: autoDraw = False
121.6405 	EXP 	grating: autoDraw = True
121.6405 	EXP 	grating: tex = 'sin'
121.9405 	EXP 	grating: autoDraw = False
122.0095 	EXP 	window1: recordFrameIntervals = False
122.0110 	DATA 	Keypress: left
122.0236 	EXP 	fixation: autoDraw = False
122.0236 	EXP 	grating: autoDraw = False
122.0239 	EXP 	window1: recordFrameIntervals = False
122.9979 	EXP 	fixation: autoDraw = True
124.0065 	EXP 	fixation: autoDraw = False
124.0234 	EXP 	grating: autoDraw = True
124.0234 	EXP 	grating: tex = 'sin'
124.3234 	EXP 	grating: autoDraw = False
124.3587 	EXP 	window1: recordFrameIntervals = False
124.3600 	DATA 	Keypress: right
124.3733 	EXP 	fixation: autoDraw = False
124.3733 	EXP 	grating: autoDraw = False
124.3735 	EXP 	window1: recordFrameIntervals = False
125.3483 	EXP 	fixation: autoDraw = True
126.3560 	EXP 	fixation: autoDraw = False
126.3729 	EXP 	grating: autoDraw = True
126.3729 	EXP 	grating: tex = 'sin'
126.6724 	EXP 	grating: autoDraw = False
126.7084 	EXP 	window1: recordFrameIntervals = False
126.7096 	DATA 	Keypress: left
126.7222 	EXP 	fixation: autoDraw = False
126.7222 	EXP 	grating: autoDraw = False
126.7225 	EXP 	window1: recordFrameIntervals = False
127.6982 	EXP 	fixation: autoDraw = True
128.7050 	EXP 	fixation: autoDraw = False
128.7220 	EXP 	grating: autoDraw = True
128.7220 	EXP 	grating: tex = 'sin'
129.0222 	EXP 	grating: autoDraw = False
129.0578 	EXP 	window1: recordFrameIntervals = False
129.0592 	DATA 	Keypress: right
129.0717 	EXP 	fixation: autoDraw = False
129.0717 	EXP 	grating: autoDraw = False
129.0720 	EXP 	window1: recordFrameIntervals = False
130.0484 	EXP 	fixation: autoDraw = True
131.0547 	EXP 	fixation: autoDraw = False
131.0719 	EXP 	grating: autoDraw = True
131.0719 	EXP 	grating: tex = 'sin'
131.3714 	EXP 	grating: autoDraw = False
131.5572 	EXP 	window1: recordFrameIntervals = False
131.5585 	DATA 	Keypress: right
131.5710 	EXP 	fixation: autoDraw = False
131.5710 	EXP 	grating: autoDraw = False
131.5713 	EXP 	window1: recordFrameIntervals = False
132.5472 	EXP 	fixation: autoDraw = True
133.5540 	EXP 	fixation: autoDraw = False
133.5708 	EXP 	grating: autoDraw = True
133.5708 	EXP 	grating: tex = 'sin'
133.8708 	EXP 	grating: autoDraw = False
134.0730 	EXP 	window1: recordFrameIntervals = False
134.0744 	DATA 	Keypress: right
134.0873 	EXP 	fixation: autoDraw = False
134.0873 	EXP 	grating: autoDraw = False
134.0875 	EXP 	window1: recordFrameIntervals = False
135.0626 	EXP 	fixation: autoDraw = True
136.0701 	EXP 	fixation: autoDraw = False
136.0870 	EXP 	grating: autoDraw = True
136.0870 	EXP 	grating: tex = 'sin'
136.3866 	EXP 	grating: autoDraw = False
136.4558 	EXP 	window1: recordFrameIntervals = False
136.4571 	DATA 	Keypress: left
136.4703 	EXP 	fixation: autoDraw = False
136.4703 	EXP 	grating: autoDraw = False
136.4706 	EXP 	window1: recordFrameIntervals = False
137.4456 	EXP 	fixation: autoDraw = True
138.4530 	EXP 	fixation: autoDraw = False
138.4695 	EXP 	grating: autoDraw = True
138.4695 	EXP 	grating: tex = 'sin'
138.7696 	EXP 	grating: autoDraw = False
138.9720 	EXP 	window1: recordFrameIntervals = False
138.9734 	DATA 	Keypress: left
138.9862 	EXP 	fixation: autoDraw = False
138.9862 	EXP 	grating: autoDraw = False
138.9865 	EXP 	window1: recordFrameIntervals = False
139.9607 	EXP 	fixation: autoDraw = True
140.9689 	EXP 	fixation: autoDraw = False
140.9860 	EXP 	grating: autoDraw = True
140.9860 	EXP 	grating: tex = 'sin'
141.2852 	EXP 	grating: autoDraw = False
141.4546 	EXP 	window1: recordFrameIntervals = False
141.4559 	DATA 	Keypress: right
141.4690 	EXP 	fixation: autoDraw = False
141.4690 	EXP 	grating: autoDraw = False
141.4692 	EXP 	window1: recordFrameIntervals = False
142.4466 	EXP 	fixation: autoDraw = True
143.4518 	EXP 	fixation: autoDraw = False
143.4685 	EXP 	grating: autoDraw = True
143.4685 	EXP 	grating: tex = 'sin'
143.7684 	EXP 	grating: autoDraw = False
143.9037 	EXP 	window1: recordFrameIntervals = False
143.9050 	DATA 	Keypress: right
143.9184 	EXP 	fixation: autoDraw = False
143.9184 	EXP 	grating: autoDraw = False
143.9187 	EXP 	window1: recordFrameIntervals = False
144.8933 	EXP 	fixation: autoDraw = True
145.9011 	EXP 	fixation: autoDraw = False
145.9180 	EXP 	grating: autoDraw = True
145.9180 	EXP 	grating: tex = 'sin'
146.2177 	EXP 	grating: autoDraw = False
146.3535 	EXP 	window1: recordFrameIntervals = False
146.3547 	DATA 	Keypress: left
146.3674 	EXP 	fixation: autoDraw = False
146.3674 	EXP 	grating: autoDraw = False
146.3676 	EXP 	window1: recordFrameIntervals = False
147.3429 	EXP 	fixation: autoDraw = True
148.3502 	EXP 	fixation: autoDraw = False
148.3675 	EXP 	grating: autoDraw = True
148.3675 	EXP 	grating: tex = 'sin'
148.6670 	EXP 	grating: autoDraw = False
149.0692 	EXP 	window1: recordFrameIntervals = False
149.0705 	DATA 	Keypress: right
149.0837 	EXP 	fixation: autoDraw = False
149.0837 	EXP 	grating: autoDraw = False
149.0839 	EXP 	window1: recordFrameIntervals = False
150.0599 	EXP 	fixation: autoDraw = True
151.0664 	EXP 	fixation: autoDraw = False
151.0836 	EXP 	grating: autoDraw = True
151.0836 	EXP 	grating: tex = 'sin'
151.3832 	EXP 	grating: autoDraw = False
151.5183 	EXP 	window1: recordFrameIntervals = False
151.5196 	DATA 	Keypress: left
151.5333 	EXP 	fixation: autoDraw = False
151.5333 	EXP 	grating: autoDraw = False
151.5335 	EXP 	window1: recordFrameIntervals = False
152.5087 	EXP 	fixation: autoDraw = True
153.5156 	EXP 	fixation: autoDraw = False
153.5329 	EXP 	grating: autoDraw = True
153.5329 	EXP 	grating: tex = 'sin'
153.8322 	EXP 	grating: autoDraw = False
153.9847 	EXP 	window1: recordFrameIntervals = False
153.9859 	DATA 	Keypress: right
153.9993 	EXP 	fixation: autoDraw = False
153.9993 	EXP 	grating: autoDraw = False
153.9996 	EXP 	window1: recordFrameIntervals = False
154.7701 	DATA 	Keypress: right
154.9749 	EXP 	fixation: autoDraw = True
155.9817 	EXP 	fixation: autoDraw = False
155.9985 	EXP 	grating: autoDraw = True
155.9985 	EXP 	grating: tex = 'sin'
156.2985 	EXP 	grating: autoDraw = False
156.4513 	EXP 	window1: recordFrameIntervals = False
156.4528 	DATA 	Keypress: left
156.4652 	EXP 	fixation: autoDraw = False
156.4652 	EXP 	grating: autoDraw = False
156.4655 	EXP 	window1: recordFrameIntervals = False
157.4416 	EXP 	fixation: autoDraw = True
158.4481 	EXP 	fixation: autoDraw = False
158.4648 	EXP 	grating: autoDraw = True
158.4648 	EXP 	grating: tex = 'sin'
158.7643 	EXP 	grating: autoDraw = False
158.8831 	EXP 	window1: recordFrameIntervals = False
158.8857 	DATA 	Keypress: left
158.8979 	EXP 	fixation: autoDraw = False
158.8979 	EXP 	grating: autoDraw = False
158.8981 	EXP 	window1: recordFrameIntervals = False
159.8734 	EXP 	fixation: autoDraw = True
160.8809 	EXP 	fixation: autoDraw = False
160.8972 	EXP 	grating: autoDraw = True
160.8972 	EXP 	grating: tex = 'sin'
161.1974 	EXP 	grating: autoDraw = False
161.3496 	DATA 	Keypress: right
161.3661 	EXP 	window1: recordFrameIntervals = False
161.3804 	EXP 	fixation: autoDraw = False
161.3804 	EXP 	grating: autoDraw = False
161.3807 	EXP 	window1: recordFrameIntervals = False
162.3555 	EXP 	fixation: autoDraw = True
163.3635 	EXP 	fixation: autoDraw = False
163.3800 	EXP 	grating: autoDraw = True
163.3800 	EXP 	grating: tex = 'sin'
163.6798 	EXP 	grating: autoDraw = False
163.8657 	EXP 	window1: recordFrameIntervals = False
163.8670 	DATA 	Keypress: right
163.8796 	EXP 	fixation: autoDraw = False
163.8796 	EXP 	grating: autoDraw = False
163.8798 	EXP 	window1: recordFrameIntervals = False
164.8560 	EXP 	fixation: autoDraw = True
165.8628 	EXP 	fixation: autoDraw = False
165.8793 	EXP 	grating: autoDraw = True
165.8793 	EXP 	grating: tex = 'sin'
166.1791 	EXP 	grating: autoDraw = False
166.4475 	EXP 	window1: recordFrameIntervals = False
166.4482 	DATA 	Keypress: right
166.4625 	EXP 	fixation: autoDraw = False
166.4625 	EXP 	grating: autoDraw = False
166.4627 	EXP 	window1: recordFrameIntervals = False
167.4378 	EXP 	fixation: autoDraw = True
168.4454 	EXP 	fixation: autoDraw = False
168.4622 	EXP 	grating: autoDraw = True
168.4622 	EXP 	grating: tex = 'sin'
168.7622 	EXP 	grating: autoDraw = False
168.9308 	EXP 	window1: recordFrameIntervals = False
168.9320 	DATA 	Keypress: right
168.9452 	EXP 	fixation: autoDraw = False
168.9452 	EXP 	grating: autoDraw = False
168.9455 	EXP 	window1: recordFrameIntervals = False
169.9209 	EXP 	fixation: autoDraw = True
170.9282 	EXP 	fixation: autoDraw = False
170.9451 	EXP 	grating: autoDraw = True
170.9451 	EXP 	grating: tex = 'sin'
171.2449 	EXP 	grating: autoDraw = False
171.3973 	DATA 	Keypress: left
171.4136 	EXP 	window1: recordFrameIntervals = False
171.4280 	EXP 	fixation: autoDraw = False
171.4280 	EXP 	grating: autoDraw = False
171.4282 	EXP 	window1: recordFrameIntervals = False
172.4027 	EXP 	fixation: autoDraw = True
173.4107 	EXP 	fixation: autoDraw = False
173.4279 	EXP 	grating: autoDraw = True
173.4279 	EXP 	grating: tex = 'sin'
173.7270 	EXP 	grating: autoDraw = False
173.9132 	EXP 	window1: recordFrameIntervals = False
173.9145 	DATA 	Keypress: left
173.9273 	EXP 	fixation: autoDraw = False
173.9273 	EXP 	grating: autoDraw = False
